'ModifiedCartan.absorption_poisson_constants' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.wronskian_mean_lower_from_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_growth_contradiction' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_envelope_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.proximityMean_le_unitGrowthMean' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_combination_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_compactConvergence_zero_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.norm_le_unit_of_small_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.large_unit_of_nonvanishing_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_growth_radii' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_successor' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_constant_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximal_unit_coefficient_inv_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.remove_one_coefficient_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_zero_of_diskSupNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.nonnegative_sequence_zero_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.nontrivial_on_smaller_disk' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_of_vanishing_combination' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.sharpRadius_pseudodiameter' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.sharpRadius_hyperbolicDiameter' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_at_recursive_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.explicitAbsorptionTheorem_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorptionTheorem_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskSupNorm_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_wronskian_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.absorption_wronskian_growth_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_fiber_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.indexPartition_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_of_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.ratePartition_part' depends on axioms: [propext, Classical.choice, Quot.sound]
